domain,post_url,post_date
yad2.co.il,https://plaintextoffenders.com/post/4365496076/yad2-co-il,2011-04-05T14:11:17Z
hometheater.co.il,https://plaintextoffenders.com/post/4365635446/hometheater-co-il,2011-04-05T14:22:05Z
zer4u.co.il,https://plaintextoffenders.com/post/4370796217/zer4ucoil-whats-worse-they-use-the-personal,2011-04-05T23:27:06Z
holmesplace.co.il,https://plaintextoffenders.com/post/4386657640/holmesplacecoil,2011-04-06T08:11:00Z
hyperiums.com,https://plaintextoffenders.com/post/4387622789/hyperiumscom,2011-04-06T09:57:28Z
endomondo.com,https://plaintextoffenders.com/post/4388014270/endomondocom-plain-text-password-in-html-in,2011-04-06T10:36:07Z
pelephone.co.il,https://plaintextoffenders.com/post/4388799244/pelephonecoil-cellular-company-in-israel-you,2011-04-06T11:48:00Z
apress.com,https://plaintextoffenders.com/post/4404044786/apresscom-book-publishers,2011-04-07T01:00:06Z
rapidshare.com,https://plaintextoffenders.com/post/4409718309/rapidsharecom-a-file-sharing-website,2011-04-07T05:00:06Z
fatsecret.com,https://plaintextoffenders.com/post/4415006482/fatsecretcom-a-food-and-diet-website,2011-04-07T13:00:07Z
ourgroceries.com,https://plaintextoffenders.com/post/4418430655/ourgroceriescom-groceries-list-application,2011-04-07T17:00:06Z
hadran.co.il,https://plaintextoffenders.com/post/4429339947/hadrancoil-a-website-that-lets-you-buy-tickets,2011-04-08T01:00:06Z
ejobs.ro,https://plaintextoffenders.com/post/4434899244/ejobsro-online-jobs-site,2011-04-08T05:00:07Z
jinni.com,https://plaintextoffenders.com/post/4437601382/jinnicom-tv-recommendation-engine,2011-04-08T09:00:07Z
eline.co.il,https://plaintextoffenders.com/post/4440050557/elinecoil-electronics-store,2011-04-08T13:00:07Z
plataforma10.com,https://plaintextoffenders.com/post/4443566523/plataforma10com-argentinean-travel-website,2011-04-08T17:00:07Z
comunio.es,https://plaintextoffenders.com/post/4453847934/comunioes-football-manager-game,2011-04-09T01:00:06Z
hemnet.se,https://plaintextoffenders.com/post/4459512535/hemnetse-swedens-largest-site-for-finding-real,2011-04-09T05:00:07Z
codespeak.net,https://plaintextoffenders.com/post/4462625507/codespeaknet-host-of-some-open-source-projects,2011-04-09T09:00:07Z
justgiving.com,https://plaintextoffenders.com/post/4465229643/justgivingcom-donation-raising-platform,2011-04-09T13:00:07Z
newyorker.com,https://plaintextoffenders.com/post/4470132706/newyorkercom-the-new-yorker,2011-04-09T17:00:06Z
super-seed.me.uk,https://plaintextoffenders.com/post/4480963226/super-seedmeuk-self-explanatory-they-also,2011-04-10T01:00:06Z
webserve.ca,https://plaintextoffenders.com/post/4486737596/webserveca,2011-04-10T05:00:07Z
gameforge.com,https://plaintextoffenders.com/post/4490232576/gameforgecom,2011-04-10T09:00:06Z
crossfitoakland.com,https://plaintextoffenders.com/post/4493055493/crossfitoaklandcom,2011-04-10T13:00:06Z
mindbodyonline.com,https://plaintextoffenders.com/post/4497916345/mindbodyonlinecom-handles-scheduling-and,2011-04-10T17:00:06Z
msdn.e-academy.com,https://plaintextoffenders.com/post/4519052072/msdne-academycom-msdnaa,2011-04-11T09:00:06Z
asda.com,https://plaintextoffenders.com/post/4525222731/asdacom,2011-04-11T13:00:07Z
codeweavers.com,https://plaintextoffenders.com/post/4528882762/codeweaverscom-codeweavers-makes-crossover-a,2011-04-11T17:00:06Z
dreamhost.com,https://plaintextoffenders.com/post/4540444084/dreamhostcom-all-my-domains-and-web-sites-are,2011-04-12T01:00:06Z
papajohs.co.uk,https://plaintextoffenders.com/post/4546457240/papajohscouk-papa-johns-uk-their-order-form,2011-04-12T05:00:06Z
starcitygames.com,https://plaintextoffenders.com/post/4549268522/starcitygamescom-clueless-when-it-comes-to,2011-04-12T09:00:07Z
virginmobile.com,https://plaintextoffenders.com/post/4552101324/virginmobilecom-a-mobile-phone-company,2011-04-12T13:00:06Z
domainsatcost.ca,https://plaintextoffenders.com/post/4555769595/domainsatcostca-forgotten-password-reminder,2011-04-12T17:00:06Z
t-mobile.net,https://plaintextoffenders.com/post/4567498592/t-mobilenet,2011-04-13T01:00:06Z
firstcapitalconnect.co.uk,https://plaintextoffenders.com/post/4573381138/firstcapitalconnectcouk,2011-04-13T05:00:06Z
reliancecomfort.com,https://plaintextoffenders.com/post/4579024128/reliancecomfortcom-we-rent-a-water-heater-from,2011-04-13T13:00:05Z
tesco.co.uk,https://plaintextoffenders.com/post/4594624956/tescocouk-happy-shopping,2011-04-14T01:00:05Z
thepiratebay.com,https://plaintextoffenders.com/post/4606023517/thepiratebaycom-a-torrent-search-site,2011-04-14T13:00:06Z
dealnews.com,https://plaintextoffenders.com/post/4609834200/dealnewscom-a-deals-aggregator,2011-04-14T17:00:05Z
etc.,https://plaintextoffenders.com/post/4621045551/yakca-where-i-can-change-my-billing-information,2011-04-15T01:00:05Z
yak.ca,https://plaintextoffenders.com/post/4621045551/yakca-where-i-can-change-my-billing-information,2011-04-15T01:00:05Z
ashleymadison.com,https://plaintextoffenders.com/post/4626695851/ashleymadisoncom-discreet-dating-website,2011-04-15T05:00:05Z
discovercard.com,https://plaintextoffenders.com/post/4629405305/discovercardcom-a-credit-card-company,2011-04-15T09:00:05Z
